,PC1,PC2,Label,Target,Vowel,VowelMarker,ID,Sex,Height,Position,Rounding
0,-0.148433053269,0.0770677581611,5,0.0,ae,$ae$,m01ae,0,near-open,front,1.0
1,-0.142838038218,0.0820538773205,5,0.0,ae,$ae$,m02ae,0,near-open,front,1.0
2,-0.156992013689,0.0845624213783,5,0.0,ae,$ae$,m04ae,0,near-open,front,1.0
3,-0.115154518818,0.0712397052468,5,0.0,ae,$ae$,m06ae,0,near-open,front,1.0
4,-0.193082077861,0.056232152463,5,0.0,ae,$ae$,m07ae,0,near-open,front,1.0
5,-0.144322801701,0.0550945124089,5,0.0,ae,$ae$,m08ae,0,near-open,front,1.0
6,-0.180912130982,0.00840798162136,8,0.0,ae,$ae$,m10ae,0,near-open,front,1.0
7,-0.12279810185,0.0598856750661,5,0.0,ae,$ae$,m11ae,0,near-open,front,1.0
8,-0.197303716319,0.0438344491102,5,0.0,ae,$ae$,m14ae,0,near-open,front,1.0
9,-0.149303930266,0.021982933261,5,0.0,ae,$ae$,m16ae,0,near-open,front,1.0
10,-0.182211703614,-0.0247259237466,8,0.0,ae,$ae$,m18ae,0,near-open,front,1.0
11,-0.149729163837,0.0533840634862,5,0.0,ae,$ae$,m19ae,0,near-open,front,1.0
12,-0.126212558243,-0.00235201959111,5,0.0,ae,$ae$,m21ae,0,near-open,front,1.0
13,-0.199714383497,0.0818755238649,5,0.0,ae,$ae$,m23ae,0,near-open,front,1.0
14,-0.207257350094,0.0440241462238,5,0.0,ae,$ae$,m24ae,0,near-open,front,1.0
15,-0.141564807104,0.0150219038683,5,0.0,ae,$ae$,m25ae,0,near-open,front,1.0
16,-0.17180354951,0.0425516527029,5,0.0,ae,$ae$,m26ae,0,near-open,front,1.0
17,-0.192471541103,0.0664077314714,5,0.0,ae,$ae$,m27ae,0,near-open,front,1.0
18,-0.229934485431,0.0711895457495,5,0.0,ae,$ae$,m29ae,0,near-open,front,1.0
19,-0.165113626714,0.0385348334397,5,0.0,ae,$ae$,m30ae,0,near-open,front,1.0
20,-0.193581027704,0.0326973676231,5,0.0,ae,$ae$,m33ae,0,near-open,front,1.0
21,-0.158600936221,0.0343832158028,5,0.0,ae,$ae$,m34ae,0,near-open,front,1.0
22,-0.0843422052417,0.0709343283304,5,0.0,ae,$ae$,m35ae,0,near-open,front,1.0
23,-0.13021894464,0.0151649688107,5,0.0,ae,$ae$,m36ae,0,near-open,front,1.0
24,-0.122574542727,0.0802406217226,5,0.0,ae,$ae$,m37ae,0,near-open,front,1.0
25,-0.316690673504,0.129647359922,5,0.0,ae,$ae$,m38ae,0,near-open,front,1.0
26,-0.165326701937,0.0456509572961,5,0.0,ae,$ae$,m39ae,0,near-open,front,1.0
27,-0.16137691733,0.0374692650004,5,0.0,ae,$ae$,m40ae,0,near-open,front,1.0
28,-0.106857310379,0.00586206225782,5,0.0,ae,$ae$,m41ae,0,near-open,front,1.0
29,-0.108887570442,0.0256798320083,5,0.0,ae,$ae$,m42ae,0,near-open,front,1.0
30,-0.156356551294,-0.000755141402923,5,0.0,ae,$ae$,m47ae,0,near-open,front,1.0
31,-0.134394094586,0.0478053226725,5,0.0,ae,$ae$,m48ae,0,near-open,front,1.0
32,-0.218980279421,0.054780319174,5,0.0,ae,$ae$,m50ae,0,near-open,front,1.0
33,-0.205397847429,0.0783694355539,5,0.0,ae,$ae$,w01ae,1,near-open,front,1.0
34,-0.228294845449,0.0291484176972,8,0.0,ae,$ae$,w02ae,1,near-open,front,1.0
35,-0.245061821595,0.0947365954089,5,0.0,ae,$ae$,w03ae,1,near-open,front,1.0
36,-0.127195181954,0.0594171502619,5,0.0,ae,$ae$,w04ae,1,near-open,front,1.0
37,-0.191160757535,0.0553281469256,5,0.0,ae,$ae$,w05ae,1,near-open,front,1.0
38,-0.210738526613,0.0490112336144,5,0.0,ae,$ae$,w06ae,1,near-open,front,1.0
39,-0.23135425027,0.108889307841,5,0.0,ae,$ae$,w07ae,1,near-open,front,1.0
40,-0.215238236036,0.00202935839331,8,0.0,ae,$ae$,w08ae,1,near-open,front,1.0
41,-0.191965969335,0.0676196877381,5,0.0,ae,$ae$,w09ae,1,near-open,front,1.0
42,-0.20743927183,0.0443355339411,5,0.0,ae,$ae$,w10ae,1,near-open,front,1.0
43,-0.203492750847,0.0367347962709,8,0.0,ae,$ae$,w12ae,1,near-open,front,1.0
44,-0.208631432342,0.083740027415,5,0.0,ae,$ae$,w13ae,1,near-open,front,1.0
45,-0.183358359975,0.0784201525821,5,0.0,ae,$ae$,w14ae,1,near-open,front,1.0
46,-0.234915993552,0.0587403723402,8,0.0,ae,$ae$,w15ae,1,near-open,front,1.0
47,-0.242239095355,0.0233739676252,8,0.0,ae,$ae$,w16ae,1,near-open,front,1.0
48,-0.174251995277,0.0762470148229,5,0.0,ae,$ae$,w17ae,1,near-open,front,1.0
49,-0.174954699306,0.049470359814,5,0.0,ae,$ae$,w19ae,1,near-open,front,1.0
50,-0.179015813793,0.0306698634107,5,0.0,ae,$ae$,w21ae,1,near-open,front,1.0
51,-0.23769144302,0.00566222398778,8,0.0,ae,$ae$,w22ae,1,near-open,front,1.0
52,-0.202405998686,0.080783664068,5,0.0,ae,$ae$,w23ae,1,near-open,front,1.0
53,-0.137338910533,0.0290696769813,5,0.0,ae,$ae$,w24ae,1,near-open,front,1.0
54,-0.178437388979,-0.00119531957555,8,0.0,ae,$ae$,w25ae,1,near-open,front,1.0
55,-0.0437406889166,0.0542883782426,5,0.0,ae,$ae$,w26ae,1,near-open,front,1.0
56,-0.187384014364,0.0493823314429,5,0.0,ae,$ae$,w28ae,1,near-open,front,1.0
57,-0.201753676611,0.0534109520944,5,0.0,ae,$ae$,w29ae,1,near-open,front,1.0
58,-0.220960268079,0.0829626151311,5,0.0,ae,$ae$,w30ae,1,near-open,front,1.0
59,-0.122495991558,-0.00731551305134,5,0.0,ae,$ae$,w31ae,1,near-open,front,1.0
60,-0.217361299462,0.0166069116515,8,0.0,ae,$ae$,w33ae,1,near-open,front,1.0
61,-0.186041330098,0.092132392596,5,0.0,ae,$ae$,w36ae,1,near-open,front,1.0
62,-0.0216784285239,0.116126094398,5,0.0,ae,$ae$,w37ae,1,near-open,front,1.0
63,-0.214982061523,0.0526684248353,5,0.0,ae,$ae$,w38ae,1,near-open,front,1.0
64,-0.263693736429,0.0401234825125,8,0.0,ae,$ae$,w41ae,1,near-open,front,1.0
65,-0.219261221348,0.101452107668,5,0.0,ae,$ae$,w45ae,1,near-open,front,1.0
66,-0.116009792503,0.15087152443,5,0.0,ae,$ae$,w47ae,1,near-open,front,1.0
67,-0.242581529279,0.0686556928774,5,0.0,ae,$ae$,w48ae,1,near-open,front,1.0
68,-0.221855869601,0.12159037194,5,0.0,ae,$ae$,w50ae,1,near-open,front,1.0
69,-0.207578910896,0.0150166358766,8,0.0,ae,$ae$,b01ae,2,near-open,front,1.0
70,-0.245109638594,0.109746898124,5,0.0,ae,$ae$,b05ae,2,near-open,front,1.0
71,-0.097759486079,0.0545553678561,5,0.0,ae,$ae$,b07ae,2,near-open,front,1.0
72,-0.254007722749,0.0431014733093,8,0.0,ae,$ae$,b10ae,2,near-open,front,1.0
73,-0.243037906474,0.0368236001859,8,0.0,ae,$ae$,b11ae,2,near-open,front,1.0
74,-0.17232639069,0.0380743154483,5,0.0,ae,$ae$,b12ae,2,near-open,front,1.0
75,-0.223763214946,0.0143891191726,8,0.0,ae,$ae$,b13ae,2,near-open,front,1.0
76,-0.152569555555,0.00603662226153,5,0.0,ae,$ae$,b14ae,2,near-open,front,1.0
77,-0.241029345785,-0.000691304879235,8,0.0,ae,$ae$,b15ae,2,near-open,front,1.0
78,-0.154500314098,0.0763689067883,5,0.0,ae,$ae$,b17ae,2,near-open,front,1.0
79,-0.200790698982,0.0872806438096,5,0.0,ae,$ae$,b18ae,2,near-open,front,1.0
80,-0.14479211775,0.100408638996,5,0.0,ae,$ae$,b21ae,2,near-open,front,1.0
81,-0.182233959455,0.00315951875257,8,0.0,ae,$ae$,b22ae,2,near-open,front,1.0
82,-0.180311981182,-0.00891127979358,8,0.0,ae,$ae$,b27ae,2,near-open,front,1.0
83,-0.146804893389,0.0209665535086,5,0.0,ae,$ae$,b28ae,2,near-open,front,1.0
84,-0.190794781247,0.152738795105,5,0.0,ae,$ae$,b29ae,2,near-open,front,1.0
85,-0.147770312267,0.0302752318698,5,0.0,ae,$ae$,g01ae,3,near-open,front,1.0
86,-0.199096062319,0.00319323985624,8,0.0,ae,$ae$,g05ae,3,near-open,front,1.0
87,-0.152673922409,0.089073162651,5,0.0,ae,$ae$,g06ae,3,near-open,front,1.0
88,-0.18148196602,-0.0184669648543,8,0.0,ae,$ae$,g08ae,3,near-open,front,1.0
89,-0.126111211761,0.0329042092388,5,0.0,ae,$ae$,g09ae,3,near-open,front,1.0
90,-0.143491368277,0.0238539451636,5,0.0,ae,$ae$,g17ae,3,near-open,front,1.0
91,-0.230632718268,-0.0395260033377,8,0.0,ae,$ae$,g21ae,3,near-open,front,1.0
92,0.266373977314,0.107248530704,7,1.0,ah,$ah$,m01ah,0,near-open,central,0.0
93,0.386986576703,0.0622733892766,7,1.0,ah,$ah$,m02ah,0,near-open,central,0.0
94,0.327319681777,0.0780901478611,7,1.0,ah,$ah$,m03ah,0,near-open,central,0.0
95,0.308448284226,0.134592077448,7,1.0,ah,$ah$,m04ah,0,near-open,central,0.0
96,0.340577129739,0.167777268553,7,1.0,ah,$ah$,m06ah,0,near-open,central,0.0
97,0.178549992091,0.143589817312,7,1.0,ah,$ah$,m07ah,0,near-open,central,0.0
98,0.192338629597,0.109401779345,7,1.0,ah,$ah$,m08ah,0,near-open,central,0.0
99,0.191181217988,0.10881299168,7,1.0,ah,$ah$,m13ah,0,near-open,central,0.0
100,0.164519035063,0.128234439159,7,1.0,ah,$ah$,m14ah,0,near-open,central,0.0
101,0.226148540698,0.0311832861927,7,1.0,ah,$ah$,m16ah,0,near-open,central,0.0
102,0.133705474406,0.0703681861598,7,1.0,ah,$ah$,m18ah,0,near-open,central,0.0
103,0.15307988299,0.121938173446,7,1.0,ah,$ah$,m21ah,0,near-open,central,0.0
104,0.192484850841,0.117567395952,7,1.0,ah,$ah$,m22ah,0,near-open,central,0.0
105,0.260699049421,0.0865172101841,7,1.0,ah,$ah$,m23ah,0,near-open,central,0.0
106,0.259064941664,0.150977892597,7,1.0,ah,$ah$,m24ah,0,near-open,central,0.0
