,PC1,PC2,Label,Target,Vowel,VowelMarker,ID,Sex,Height,Position,Rounding
0,-0.148433053269,0.0770677581611,0,0.0,ae,$ae$,m01ae,0,near-open,front,1.0
1,-0.142838038218,0.0820538773205,0,0.0,ae,$ae$,m02ae,0,near-open,front,1.0
2,-0.156992013689,0.0845624213783,0,0.0,ae,$ae$,m04ae,0,near-open,front,1.0
3,-0.115154518818,0.0712397052468,6,0.0,ae,$ae$,m06ae,0,near-open,front,1.0
4,-0.193082077861,0.056232152463,0,0.0,ae,$ae$,m07ae,0,near-open,front,1.0
5,-0.144322801701,0.0550945124089,6,0.0,ae,$ae$,m08ae,0,near-open,front,1.0
6,-0.180912130982,0.00840798162136,2,0.0,ae,$ae$,m10ae,0,near-open,front,1.0
7,-0.12279810185,0.0598856750661,6,0.0,ae,$ae$,m11ae,0,near-open,front,1.0
8,-0.197303716319,0.0438344491102,0,0.0,ae,$ae$,m14ae,0,near-open,front,1.0
9,-0.149303930266,0.021982933261,6,0.0,ae,$ae$,m16ae,0,near-open,front,1.0
10,-0.182211703614,-0.0247259237466,2,0.0,ae,$ae$,m18ae,0,near-open,front,1.0
11,-0.149729163837,0.0533840634862,6,0.0,ae,$ae$,m19ae,0,near-open,front,1.0
12,-0.126212558243,-0.00235201959111,6,0.0,ae,$ae$,m21ae,0,near-open,front,1.0
13,-0.199714383497,0.0818755238649,0,0.0,ae,$ae$,m23ae,0,near-open,front,1.0
14,-0.207257350094,0.0440241462238,0,0.0,ae,$ae$,m24ae,0,near-open,front,1.0
15,-0.141564807104,0.0150219038683,6,0.0,ae,$ae$,m25ae,0,near-open,front,1.0
16,-0.17180354951,0.0425516527029,6,0.0,ae,$ae$,m26ae,0,near-open,front,1.0
17,-0.192471541103,0.0664077314714,0,0.0,ae,$ae$,m27ae,0,near-open,front,1.0
18,-0.229934485431,0.0711895457495,0,0.0,ae,$ae$,m29ae,0,near-open,front,1.0
19,-0.165113626714,0.0385348334397,6,0.0,ae,$ae$,m30ae,0,near-open,front,1.0
20,-0.193581027704,0.0326973676231,2,0.0,ae,$ae$,m33ae,0,near-open,front,1.0
21,-0.158600936221,0.0343832158028,6,0.0,ae,$ae$,m34ae,0,near-open,front,1.0
22,-0.0843422052417,0.0709343283304,6,0.0,ae,$ae$,m35ae,0,near-open,front,1.0
23,-0.13021894464,0.0151649688107,6,0.0,ae,$ae$,m36ae,0,near-open,front,1.0
24,-0.122574542727,0.0802406217226,6,0.0,ae,$ae$,m37ae,0,near-open,front,1.0
25,-0.316690673504,0.129647359922,0,0.0,ae,$ae$,m38ae,0,near-open,front,1.0
26,-0.165326701937,0.0456509572961,6,0.0,ae,$ae$,m39ae,0,near-open,front,1.0
27,-0.16137691733,0.0374692650004,6,0.0,ae,$ae$,m40ae,0,near-open,front,1.0
28,-0.106857310379,0.00586206225782,6,0.0,ae,$ae$,m41ae,0,near-open,front,1.0
29,-0.108887570442,0.0256798320083,6,0.0,ae,$ae$,m42ae,0,near-open,front,1.0
30,-0.156356551294,-0.000755141402923,6,0.0,ae,$ae$,m47ae,0,near-open,front,1.0
31,-0.134394094586,0.0478053226725,6,0.0,ae,$ae$,m48ae,0,near-open,front,1.0
32,-0.218980279421,0.054780319174,0,0.0,ae,$ae$,m50ae,0,near-open,front,1.0
33,-0.205397847429,0.0783694355539,0,0.0,ae,$ae$,w01ae,1,near-open,front,1.0
34,-0.228294845449,0.0291484176972,2,0.0,ae,$ae$,w02ae,1,near-open,front,1.0
35,-0.245061821595,0.0947365954089,0,0.0,ae,$ae$,w03ae,1,near-open,front,1.0
36,-0.127195181954,0.0594171502619,6,0.0,ae,$ae$,w04ae,1,near-open,front,1.0
37,-0.191160757535,0.0553281469256,0,0.0,ae,$ae$,w05ae,1,near-open,front,1.0
38,-0.210738526613,0.0490112336144,0,0.0,ae,$ae$,w06ae,1,near-open,front,1.0
39,-0.23135425027,0.108889307841,0,0.0,ae,$ae$,w07ae,1,near-open,front,1.0
40,-0.215238236036,0.00202935839331,2,0.0,ae,$ae$,w08ae,1,near-open,front,1.0
41,-0.191965969335,0.0676196877381,0,0.0,ae,$ae$,w09ae,1,near-open,front,1.0
42,-0.20743927183,0.0443355339411,0,0.0,ae,$ae$,w10ae,1,near-open,front,1.0
43,-0.203492750847,0.0367347962709,2,0.0,ae,$ae$,w12ae,1,near-open,front,1.0
44,-0.208631432342,0.083740027415,0,0.0,ae,$ae$,w13ae,1,near-open,front,1.0
45,-0.183358359975,0.0784201525821,0,0.0,ae,$ae$,w14ae,1,near-open,front,1.0
46,-0.234915993552,0.0587403723402,0,0.0,ae,$ae$,w15ae,1,near-open,front,1.0
47,-0.242239095355,0.0233739676252,2,0.0,ae,$ae$,w16ae,1,near-open,front,1.0
48,-0.174251995277,0.0762470148229,0,0.0,ae,$ae$,w17ae,1,near-open,front,1.0
49,-0.174954699306,0.049470359814,0,0.0,ae,$ae$,w19ae,1,near-open,front,1.0
50,-0.179015813793,0.0306698634107,2,0.0,ae,$ae$,w21ae,1,near-open,front,1.0
51,-0.23769144302,0.00566222398778,2,0.0,ae,$ae$,w22ae,1,near-open,front,1.0
52,-0.202405998686,0.080783664068,0,0.0,ae,$ae$,w23ae,1,near-open,front,1.0
53,-0.137338910533,0.0290696769813,6,0.0,ae,$ae$,w24ae,1,near-open,front,1.0
